State,MOTUSETECH,MOTUSETECH_LABEL,FIRMPDEMP,State Code,Region,Division
Alabama,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,541,AL,South,East South Central
Alabama,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,830,AL,South,East South Central
Alabama,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1190,AL,South,East South Central
Alabama,T1E04C04,Artificial Intelligence: To expand the range of goods or services,598,AL,South,East South Central
Alabama,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,251,AL,South,East South Central
Alabama,T1E04C06,Artificial Intelligence: Some other reason,119,AL,South,East South Central
Alabama,T1E04C99,Artificial Intelligence: Total Reporting,1858,AL,South,East South Central
Alaska,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,241,AK,West,Pacific
Alaska,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,254,AK,West,Pacific
Alaska,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,314,AK,West,Pacific
Alaska,T1E04C04,Artificial Intelligence: To expand the range of goods or services,196,AK,West,Pacific
Alaska,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,97,AK,West,Pacific
Alaska,T1E04C06,Artificial Intelligence: Some other reason,88,AK,West,Pacific
Alaska,T1E04C99,Artificial Intelligence: Total Reporting,420,AK,West,Pacific
Arizona,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,878,AZ,West,Mountain
Arizona,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,943,AZ,West,Mountain
Arizona,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1513,AZ,West,Mountain
Arizona,T1E04C04,Artificial Intelligence: To expand the range of goods or services,430,AZ,West,Mountain
Arizona,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,428,AZ,West,Mountain
Arizona,T1E04C06,Artificial Intelligence: Some other reason,584,AZ,West,Mountain
Arizona,T1E04C99,Artificial Intelligence: Total Reporting,2877,AZ,West,Mountain
Arkansas,T1E04C99,Artificial Intelligence: Total Reporting,1231,AR,South,West South Central
Arkansas,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,396,AR,South,West South Central
Arkansas,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,513,AR,South,West South Central
Arkansas,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,736,AR,South,West South Central
Arkansas,T1E04C04,Artificial Intelligence: To expand the range of goods or services,245,AR,South,West South Central
Arkansas,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,166,AR,South,West South Central
Arkansas,T1E04C06,Artificial Intelligence: Some other reason,131,AR,South,West South Central
California,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,6953,CA,West,Pacific
California,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,7793,CA,West,Pacific
California,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,11019,CA,West,Pacific
California,T1E04C04,Artificial Intelligence: To expand the range of goods or services,6183,CA,West,Pacific
California,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,2301,CA,West,Pacific
California,T1E04C06,Artificial Intelligence: Some other reason,3207,CA,West,Pacific
California,T1E04C99,Artificial Intelligence: Total Reporting,21167,CA,West,Pacific
Colorado,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1412,CO,West,Mountain
Colorado,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1711,CO,West,Mountain
Colorado,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,2459,CO,West,Mountain
Colorado,T1E04C04,Artificial Intelligence: To expand the range of goods or services,921,CO,West,Mountain
Colorado,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,374,CO,West,Mountain
Colorado,T1E04C06,Artificial Intelligence: Some other reason,865,CO,West,Mountain
Colorado,T1E04C99,Artificial Intelligence: Total Reporting,4718,CO,West,Mountain
Connecticut,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,583,CT,Northeast,New England
Connecticut,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,614,CT,Northeast,New England
Connecticut,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,799,CT,Northeast,New England
Connecticut,T1E04C04,Artificial Intelligence: To expand the range of goods or services,366,CT,Northeast,New England
Connecticut,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,137,CT,Northeast,New England
Connecticut,T1E04C06,Artificial Intelligence: Some other reason,183,CT,Northeast,New England
Connecticut,T1E04C99,Artificial Intelligence: Total Reporting,1486,CT,Northeast,New England
Delaware,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,232,DE,South,South Atlantic
Delaware,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,497,DE,South,South Atlantic
Delaware,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,606,DE,South,South Atlantic
Delaware,T1E04C04,Artificial Intelligence: To expand the range of goods or services,207,DE,South,South Atlantic
Delaware,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,127,DE,South,South Atlantic
Delaware,T1E04C06,Artificial Intelligence: Some other reason,185,DE,South,South Atlantic
Delaware,T1E04C99,Artificial Intelligence: Total Reporting,1047,DE,South,South Atlantic
District of Columbia,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,93,DC,South,South Atlantic
District of Columbia,T1E04C06,Artificial Intelligence: Some other reason,62,DC,South,South Atlantic
District of Columbia,T1E04C99,Artificial Intelligence: Total Reporting,802,DC,South,South Atlantic
District of Columbia,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,365,DC,South,South Atlantic
District of Columbia,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,394,DC,South,South Atlantic
District of Columbia,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,551,DC,South,South Atlantic
District of Columbia,T1E04C04,Artificial Intelligence: To expand the range of goods or services,227,DC,South,South Atlantic
Florida,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,2993,FL,South,South Atlantic
Florida,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,4009,FL,South,South Atlantic
Florida,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,5988,FL,South,South Atlantic
Florida,T1E04C04,Artificial Intelligence: To expand the range of goods or services,3084,FL,South,South Atlantic
Florida,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,1386,FL,South,South Atlantic
Florida,T1E04C06,Artificial Intelligence: Some other reason,2432,FL,South,South Atlantic
Florida,T1E04C99,Artificial Intelligence: Total Reporting,12172,FL,South,South Atlantic
Georgia,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1634,GA,South,South Atlantic
Georgia,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1752,GA,South,South Atlantic
Georgia,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,2631,GA,South,South Atlantic
Georgia,T1E04C04,Artificial Intelligence: To expand the range of goods or services,1198,GA,South,South Atlantic
Georgia,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,544,GA,South,South Atlantic
Georgia,T1E04C06,Artificial Intelligence: Some other reason,746,GA,South,South Atlantic
Georgia,T1E04C99,Artificial Intelligence: Total Reporting,4883,GA,South,South Atlantic
Hawaii,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,274,HI,West,Pacific
Hawaii,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,195,HI,West,Pacific
Hawaii,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,323,HI,West,Pacific
Hawaii,T1E04C04,Artificial Intelligence: To expand the range of goods or services,67,HI,West,Pacific
Hawaii,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,58,HI,West,Pacific
Hawaii,T1E04C06,Artificial Intelligence: Some other reason,137,HI,West,Pacific
Hawaii,T1E04C99,Artificial Intelligence: Total Reporting,741,HI,West,Pacific
Idaho,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,84,ID,West,Mountain
Idaho,T1E04C06,Artificial Intelligence: Some other reason,80,ID,West,Mountain
Idaho,T1E04C99,Artificial Intelligence: Total Reporting,832,ID,West,Mountain
Idaho,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,390,ID,West,Mountain
Idaho,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,278,ID,West,Mountain
Idaho,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,430,ID,West,Mountain
Idaho,T1E04C04,Artificial Intelligence: To expand the range of goods or services,237,ID,West,Mountain
Illinois,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1771,IL,Midwest,East North Central
Illinois,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,2446,IL,Midwest,East North Central
Illinois,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,3488,IL,Midwest,East North Central
Illinois,T1E04C04,Artificial Intelligence: To expand the range of goods or services,1379,IL,Midwest,East North Central
Illinois,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,871,IL,Midwest,East North Central
Illinois,T1E04C06,Artificial Intelligence: Some other reason,1101,IL,Midwest,East North Central
Illinois,T1E04C99,Artificial Intelligence: Total Reporting,6306,IL,Midwest,East North Central
Indiana,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,843,IN,Midwest,East North Central
Indiana,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1414,IN,Midwest,East North Central
Indiana,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1412,IN,Midwest,East North Central
Indiana,T1E04C04,Artificial Intelligence: To expand the range of goods or services,766,IN,Midwest,East North Central
Indiana,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,474,IN,Midwest,East North Central
Indiana,T1E04C06,Artificial Intelligence: Some other reason,495,IN,Midwest,East North Central
Indiana,T1E04C99,Artificial Intelligence: Total Reporting,2823,IN,Midwest,East North Central
Iowa,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,543,IA,Midwest,West North Central
Iowa,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,835,IA,Midwest,West North Central
Iowa,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,868,IA,Midwest,West North Central
Iowa,T1E04C04,Artificial Intelligence: To expand the range of goods or services,462,IA,Midwest,West North Central
Iowa,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,145,IA,Midwest,West North Central
Iowa,T1E04C06,Artificial Intelligence: Some other reason,491,IA,Midwest,West North Central
Iowa,T1E04C99,Artificial Intelligence: Total Reporting,1847,IA,Midwest,West North Central
Kansas,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,475,KS,Midwest,West North Central
Kansas,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,568,KS,Midwest,West North Central
Kansas,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,715,KS,Midwest,West North Central
Kansas,T1E04C04,Artificial Intelligence: To expand the range of goods or services,524,KS,Midwest,West North Central
Kansas,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,227,KS,Midwest,West North Central
Kansas,T1E04C06,Artificial Intelligence: Some other reason,408,KS,Midwest,West North Central
Kansas,T1E04C99,Artificial Intelligence: Total Reporting,1645,KS,Midwest,West North Central
Kentucky,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,589,KY,South,East South Central
Kentucky,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,759,KY,South,East South Central
Kentucky,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,919,KY,South,East South Central
Kentucky,T1E04C04,Artificial Intelligence: To expand the range of goods or services,269,KY,South,East South Central
Kentucky,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,188,KY,South,East South Central
Kentucky,T1E04C06,Artificial Intelligence: Some other reason,243,KY,South,East South Central
Kentucky,T1E04C99,Artificial Intelligence: Total Reporting,1658,KY,South,East South Central
Louisiana,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,630,LA,South,West South Central
Louisiana,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,786,LA,South,West South Central
Louisiana,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,921,LA,South,West South Central
Louisiana,T1E04C04,Artificial Intelligence: To expand the range of goods or services,355,LA,South,West South Central
Louisiana,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,133,LA,South,West South Central
Louisiana,T1E04C06,Artificial Intelligence: Some other reason,232,LA,South,West South Central
Louisiana,T1E04C99,Artificial Intelligence: Total Reporting,1653,LA,South,West South Central
Maryland,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1090,MD,South,South Atlantic
Maryland,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1089,MD,South,South Atlantic
Maryland,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1593,MD,South,South Atlantic
Maryland,T1E04C04,Artificial Intelligence: To expand the range of goods or services,732,MD,South,South Atlantic
Maryland,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,469,MD,South,South Atlantic
Maryland,T1E04C06,Artificial Intelligence: Some other reason,349,MD,South,South Atlantic
Maryland,T1E04C99,Artificial Intelligence: Total Reporting,2930,MD,South,South Atlantic
Maine,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,282,ME,Northeast,New England
Maine,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,372,ME,Northeast,New England
Maine,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,537,ME,Northeast,New England
Maine,T1E04C04,Artificial Intelligence: To expand the range of goods or services,78,ME,Northeast,New England
Maine,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,91,ME,Northeast,New England
Maine,T1E04C06,Artificial Intelligence: Some other reason,130,ME,Northeast,New England
Maine,T1E04C99,Artificial Intelligence: Total Reporting,826,ME,Northeast,New England
Massachusetts,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,761,MA,Northeast,New England
Massachusetts,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1149,MA,Northeast,New England
Massachusetts,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1540,MA,Northeast,New England
Massachusetts,T1E04C04,Artificial Intelligence: To expand the range of goods or services,863,MA,Northeast,New England
Massachusetts,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,520,MA,Northeast,New England
Massachusetts,T1E04C06,Artificial Intelligence: Some other reason,535,MA,Northeast,New England
Massachusetts,T1E04C99,Artificial Intelligence: Total Reporting,2924,MA,Northeast,New England
Michigan,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1333,MI,Midwest,East North Central
Michigan,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1444,MI,Midwest,East North Central
Michigan,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,2365,MI,Midwest,East North Central
Michigan,T1E04C04,Artificial Intelligence: To expand the range of goods or services,1131,MI,Midwest,East North Central
Michigan,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,592,MI,Midwest,East North Central
Michigan,T1E04C06,Artificial Intelligence: Some other reason,532,MI,Midwest,East North Central
Michigan,T1E04C99,Artificial Intelligence: Total Reporting,3703,MI,Midwest,East North Central
Minnesota,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1110,MN,Midwest,West North Central
Minnesota,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1664,MN,Midwest,West North Central
Minnesota,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,2136,MN,Midwest,West North Central
Minnesota,T1E04C04,Artificial Intelligence: To expand the range of goods or services,984,MN,Midwest,West North Central
Minnesota,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,540,MN,Midwest,West North Central
Minnesota,T1E04C06,Artificial Intelligence: Some other reason,383,MN,Midwest,West North Central
Minnesota,T1E04C99,Artificial Intelligence: Total Reporting,3413,MN,Midwest,West North Central
Mississippi,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,654,MS,South,East South Central
Mississippi,T1E04C04,Artificial Intelligence: To expand the range of goods or services,345,MS,South,East South Central
Mississippi,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,98,MS,South,East South Central
Mississippi,T1E04C06,Artificial Intelligence: Some other reason,238,MS,South,East South Central
Mississippi,T1E04C99,Artificial Intelligence: Total Reporting,1159,MS,South,East South Central
Mississippi,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,224,MS,South,East South Central
Mississippi,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,380,MS,South,East South Central
Missouri,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,754,MO,Midwest,West North Central
Missouri,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,855,MO,Midwest,West North Central
Missouri,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1318,MO,Midwest,West North Central
